part,link,model,supplier,quantity,cost/unit,total price
battery,https://www.amazon.com/Tattu-850mAh-Battery-Multirotor-Quadcopter/dp/B07218QR29/ref=sr_1_4?crid=2G213BZKT5QTU&dib=eyJ2IjoiMSJ9.avfN83E5V1Yj3JtY-P61byHnL4i75jbvx8T3-ymxYaj2HNPXtF9gU8d1vGFQPYeKoIkTxVmzkBOD-CxhHoBjzDCL14-wDfKAujUdf_vsshGJGnEeZK7MoMjwgQ-R13L4GXdc5b645BMUv352nSAGvHCRr3O6giENULHCecm0np2PPfBXCwC4LfORT0PeRibBw6JUa7bnKRwX3EKlWcVpzZ8LmAodMvHd9KwPvnQZkQRG2UQLOmSPt4M3VzFA14zG9pGtCc7kCbcT6Hf60Uu4c4jYQPoHNMsspblvKo8-rY8.9T_Xeu8liOLd9gXJmpgQ1RIeLTg8q2Cbw5k3pd_8GCM&dib_tag=se&keywords=tattu+850mah+4s&qid=1764468531&s=toys-and-games&sprefix=tattu+850mah+4s%2Ctoys-and-games%2C51&sr=1-4,Tattu 14.8V 4S 75C 850mAh LiPo Battery Pack with XT30 Plug,amazon,1,$20.59,$20.59
weapon motor,https://hobbyking.com/en_us/propdrive-v2-3536a-1800kv-brushless-outrunner-motor.html,PROPDRIVE v2 3536 1800KV Brushless Outrunner Motor,hobbyking,1,$29.86,$29.86
drive motor,https://itgresa.com/product/just-cuz-robotics-dartbox-v2-gecko-gearmotors-22mm,Just Cuz Robotics Dartbox V2 Gecko Gearmotors 22mm,itgresa,2,$32.00,$64.00
weapon esc,https://itgresa.com/product/aria-70a-blheli-brushless-speed-controller,AM32 65A ESC 32bit Mini Electronic Speed Controller,itgresa,1,$35.99,$35.99
drive esc,https://itgresa.com/product/just-cuz-robotics-weka-dual-2x20-esc,Just Cuz Robotics WEKA Dual Brushed 20A ESC,itgresa,1,$40.00,$40.00
pwr distribution board,https://justcuzrobotics.com/products/long-all-in-one-pd-board?srsltid=AfmBOoqPb9AtJI-0THac8w821Q8ICF6tl_ITUsNvzCXExDEmonSp6HOx,Long All-In-One PD Board V2.1,justcuz,1,$10.00,$10.00
both pulleys,"https://www.aliexpress.us/item/3256808486144863.html?spm=a2g0o.productlist.main.9.3bdd386bv7Sguh&algo_pvid=0f994f37-64ba-4d60-a80b-dafc48e8d2bc&algo_exp_id=0f994f37-64ba-4d60-a80b-dafc48e8d2bc-8&pdp_ext_f=%7B""order""%3A""455""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.89%210.99%21%21%2127.32%216.98%21%402103274e17652390158572712e1f54%2112000046181639590%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82bfadea%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=sK4jvdm3pGqC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008672459615%7C_p_origin_prod%3A",2GT Timing Belt Pulley Set 20T B5 & 60T B12 width: 6mm,aliexpress,1,$3.89,$3.89
needle roller bearing,"https://www.aliexpress.us/item/2255799905399912.html?spm=a2g0o.productlist.main.7.4f307tuU7tuUdI&algo_pvid=f7d8c84f-3fe8-401b-8aa4-891901b53426&algo_exp_id=f7d8c84f-3fe8-401b-8aa4-891901b53426-6&pdp_ext_f=%7B""order""%3A""51""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%211.27%210.99%21%21%211.27%210.99%21%40210318a717653270263752110e8e26%2112000033103127022%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A82bfadea%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=H6rNXZ2YEgk5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000091714664%7C_p_origin_prod%3A",Drwan Cup Caged Needle Roller Bearing HK0810 8x12x10mm,aliexpress,1,$4.23,$4.23
shoulder bolt,"https://www.aliexpress.us/item/3256807123615329.html?spm=a2g0o.productlist.main.3.fa634228Ns9oSe&algo_pvid=c744ea60-025a-49e2-b178-290bdb5d8f8d&algo_exp_id=c744ea60-025a-49e2-b178-290bdb5d8f8d-2&pdp_ext_f=%7B""order""%3A""206""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%214.01%210.99%21%21%214.01%210.99%21%402101f70717654195834322914e9685%2112000040194903300%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa34db1b1%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461911&curPageLogUid=cDgoR8kTdhfc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007309930081%7C_p_origin_prod%3A&_gl=1*1mxo5rf*_gcl_au*MTk2NTY3NDk3NS4xNzY1NDE5NTcz*_ga*MTMwMjA3Nzk2MjI1MzA3OC4xNzY1NDE4MDQ0Mzg3*_ga_VED1YSGNC7*czE3NjU0MTgwMDgkbzE0JGcxJHQxNzY1NDE5NTg1JGo0OCRsMCRoMA..",12.9 Grade Steel Allen Plug Screw Mould Contour Convex Hexagon Socket Head Shoulder Screw Limit Bolt,aliexpress,1,$2.57,$2.57
washer,"https://www.aliexpress.us/item/3256807003597592.html?spm=a2g0o.productlist.main.1.627015f58Zj26N&aem_p4p_detail=20251210182444240842754769290001469297&algo_pvid=3c067e32-2c3a-49d7-9cbd-b9d5064da753&algo_exp_id=3c067e32-2c3a-49d7-9cbd-b9d5064da753-0&pdp_ext_f=%7B""order""%3A""7915""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%211.13%210.99%21%21%211.13%210.99%21%402103212317654198844147194ee44f%2112000039747824209%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa6651d2c%3Bm03_new_user%3A-29895%3BpisId%3A5000000187461913&curPageLogUid=c62JSisGTfVE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007189912344%7C_p_origin_prod%3A&search_p4p_id=20251210182444240842754769290001469297_1",304 Stainless Steel Flat Washer M8x16x1 x20pcs,aliexpress,1,$1.42,$1.42
